Series Name,Series Code,Country,Country Code,1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.19,..,..,..,..,..,0.37,..,..,0.18,..,..,0.07,..,..,..,0.22,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.65,..,..,..,..,..,..,..,9.64,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,0,0,..,..,..,0.67,1.18,1.25,1.45,2.36,2.88,2.35,2.28,2.55,2.93,4.9,5.59,4.85,3.16,2.27,1.91,1.77,1.43,1.49,0.97,0.83,0.77,0.95,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.82,..,..,4.07,..,4.45,3.23,2.03,1.81,0.91,0.57,0.67,0.32,0.27,0.41,0.42,0.33,0.56,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.18,..,..,..,..,..,0.47,0,0,0,0,..,..,..,..,..,..,..,..,..
Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,22.37,..,19.16,..,..,24.57,..,..,24.69,..,..,..,19.79,..,..,..,..,18.81,..,..,..,..,14.23,..,..,..,..,11.15,..,..,..,..
